Name,Age,height,City,Has Car,Education,Language,Mobile Number,Is Married,Sex,Skills,Salary
Namish,37,162,Kolkatta,TRUE,School Drop Out,Hindi,9038261954,Yes,Male,Python,34741
Namita,35,180,Mumbhai,FALSE,College Drop Out,Hindi,9038134007,No,Female,Power Bi,16830
Arpita,25,156,Jalandhar,TRUE,Secondary,Hindi,9038289565,No,Female,Power Point,34686
Kuntal,23,170,Jalandhar,TRUE,High School,Hindi,9038131376,No,Male,Excel,37043
Ravi,19,167,Kolkatta,FALSE,Grad,Hindi,9038292633,Yes,Male,Java,38291
Kishan,23,185,Kolkatta,TRUE,Grad,Hindi,9038280694,No,Male,Oracle,33849
Ishan,40,161,Mumbhai,FALSE,Grad,Hindi,9038141136,No,Male,Sql,33716
Sneha,38,176,Jalandhar,FALSE,Grad,Hindi,9038197533,No,Female,Sql,18804
Shahid,40,169,Jalandhar,TRUE,Under Grad,Hindi,9038572133,No,Male,Sql,17319
Kunal,29,182,Jalandhar,TRUE,Under Grad,Hindi,9038436608,No,Male,Sql,35140
Amit,33,163,Jalandhar,FALSE,Grad,Hindi,9038283920,No,Male,Sql,43064
Harish,20,178,Mumbhai,TRUE,College Drop Out,Hindi,9038506202,No,Male,Sql,43931
Uttam,29,176,Mumbhai,TRUE,Secondary,Marathee,9038432160,No,Male,Sql,27194
Nimesh,27,162,Kolkatta,FALSE,High School,Hindi,9038185967,No,Male,Sql,44561
Ravinder,24,180,Kolkatta,TRUE,Primary,Hindi,9038139596,Yes,Male,Excel,16263
Joyshree,29,156,Kolkatta,TRUE,Grad,Hindi,9038523922,No,Female,Python,31170
Debleena,24,170,Kolkatta,FALSE,Grad,Hindi,9038326807,Yes,Female,Power Bi,21419
Zeba,20,167,Kolkatta,TRUE,Grad,Bengalee,9038477863,No,Female,Power Point,35776
Niketan,37,185,Kolkatta,TRUE,Under Grad,Bengalee,9038211771,No,Male,Sql,38897
Jane Smith,30,162,Kolkatta,FALSE,Under Grad,Bengalee,9038125500,Yes,Female,Excel,19096
Mike Johnson,28,180,Varanasi,TRUE,School Drop Out,Hindi,9038192011,No,Male,Power Bi,32915
David Lee,22,170,Bikaner,FALSE,Grad,Hindi,9038118310,No,Male,Tally,32541
Sarah Davis,33,167,Mumbhai,TRUE,High School,Marathee,9038171543,No,Female,Photoshop,32483
Chris Wilson,29,185,Jalandhar,TRUE,Primary,Hindi,9038093386,No,Male,Excel,37729
Brian Miller,29,176,Jalandhar,TRUE,Grad,Hindi,9038180415,Yes,Male,Power Bi,29133
Michael Brown,34,182,Kolkatta,TRUE,Under Grad,Bengalee,9038130150,No,Male,Tally,26849
Atul,28,176,Kolkatta,FALSE,Under Grad,Hindi,9038231887,No,Male,Excel,17220
Namish,37,162,Kolkatta,TRUE,School Drop Out,Hindi,9038261954,No,Male,Excel,34741
Arpita,29,156,Jalandhar,TRUE,Secondary,Hindi,9038289565,No,Female,Power Point,34686
Kuntal,23,170,Jalandhar,TRUE,High School,Hindi,9038131376,No,Male,Excel,37043
Michael Brown,34,182,Varanasi,TRUE,Under Grad,Hindi,9038130150,No,Male,Excel,20481
Ethan Clark,25,175,Bikaner,TRUE,Grad,Hindi,9038117609,No,Male,Tally,37033
Ava Robinson,29,160,Bikaner,FALSE,Under Grad,Hindi,9038096161,No,Male,Photoshop,35366
Kevin Adams,36,179,Mumbhai,TRUE,School Drop Out,Marathee,9038132850,Yes,Male,Excel,19847
Daniel Harris,32,178,Mumbhai,TRUE,High School,Marathee,9038194428,No,Male,Excel,42894
Ethan Clark,25,175,Kolkatta,TRUE,Grad,Bengalee,9038117609,No,Male,Power Bi,37606
Kevin Adams,36,179,Varanasi,TRUE,School Drop Out,Hindi,9038132850,Yes,Male,Tally,33686
Mia Martinez,29,166,Bikaner,FALSE,College Drop Out,Hindi,9038187628,Yes,Female,Photoshop,37601
Jacob Taylor,30,183,Bikaner,TRUE,Grad,Hindi,9038095006,No,Male,Excel,38636
Noah Davis,31,177,Jalandhar,TRUE,School Drop Out,Hindi,9038176758,No,Male,Power Bi,18693
Henry Moore,29,176,Kolkatta,TRUE,Grad,Hindi,9038115261,No,Male,Power Point,27125
Elijah Taylor,30,173,Bikaner,TRUE,Grad,Hindi,9038181108,Yes,Male,Excel,28008
Addison Harris,28,164,Jalandhar,FALSE,High School,Hindi,9038110130,Yes,Female,Excel,19734
Dylan Lee,34,176,Kolkatta,TRUE,Grad,Hindi,9038095573,Yes,Male,Power Point,20349
Kuntal,29,170,Jalandhar,TRUE,High School,Hindi,9038131376,No,Male,Excel,37043
Olivia White,26,169,Kolkatta,FALSE,Grad,Hindi,9038181540,No,Female,Excel,41143
Mia Martinez,24,166,Bikaner,FALSE,College Drop Out,Hindi,9038187628,Yes,Female,Photoshop,37601
Lily Johnson,29,162,Mumbhai,FALSE,Under Grad,Marathee,9038114602,No,Female,Power Point,22542
