Name,Age,height,CitY,Has Car,eDucatiOn,Language,Mobile Number,Is Married,SeX,Skills,SalaRY
Namish,37,162,Kolkatta,TRUE,School Drop Out,Hindi,9038261954,,Male,,34741
Namita,35,180.2,Mumbhai,FALSE,College Drop Out,Hindi,9038134007,,Female,Power BI,16830
Arpita,,155.8,Jalandhar,TRUE,Secondary,Hindi,9038289565,,Female,Power Point,34686
Kuntal,23,170,Jalandhar,TRUE,High School,Hindi,9038131376,,Male,Excel,37043
Olivia White,26,168.7,Kolkatta,FALSE,Grad,Hindi,9038181540,No,Female,Power Bi,41143
Michael Brown,34,182,Varanasi,TRUE,Under Grad,Hindi,9038130150,No,Male,Excel,20481
Ethan Clark,25,175,Bikaner,TRUE,Grad,Hindi,9038117609,No,Male,Tally,37033
Ava Robinson,29,160.2,Bikaner,FALSE,Under Grad,Hindi,9038096161,No,Male,Photoshop,35366
Kevin Adams,36,178.5,Mumbhai,TRUE,School Drop Out,Marathee,9038132850,Yes,Male,Excel,19847
Mia Martinez,24,165.9,Jalandhar,FALSE,College Drop Out,Hindi,9038187628,Yes,Female,Tally,18219
Daniel Harris,32,177.6,Mumbhai,TRUE,High School,Marathee,9038194428,No,Male,Excel,42894
Sophia Moore,28,170.8,Jalandhar,FALSE,Grad,Hindi,9038158831,No,Female,Power Point,26143
Ethan Clark,25,175,Kolkatta,TRUE,Grad,Bengalee,9038117609,No,Male,Power Bi,37606
Ava Robinson,29,160.2,Kolkatta,FALSE,Under Grad,Bengalee,9038096161,No,Male,Excel,15994
Kevin Adams,36,178.5,Varanasi,TRUE,School Drop Out,Hindi,9038132850,Yes,Male,Tally,33686
Mia Martinez,,165.9,Bikaner,FALSE,College Drop Out,Hindi,9038187628,Yes,Female,Photoshop,37601
Jacob Taylor,30,183.2,Bikaner,TRUE,Grad,Hindi,9038095006,No,Male,Excel,38636
Lily Johnson,27,162.4,Mumbhai,FALSE,Under Grad,Marathee,9038114602,No,Female,Power Point,22542
Noah Davis,31,176.7,Jalandhar,TRUE,School Drop Out,Hindi,9038176758,No,Male,Power Bi,18693
Chloe Davis,29,162.8,Kolkatta,FALSE,Primary,Hindi,9038176465,No,Male,Excel,41005
Henry Moore,,176.4,Kolkatta,TRUE,Grad,Hindi,9038115261,No,Male,Power Point,27125
Grace Robinson,26,168.5,Varanasi,FALSE,Grad,Hindi,9038142567,Yes,Male,Power Bi,42706
Elijah Taylor,30,173.1,Bikaner,TRUE,Grad,Hindi,9038181108,Yes,Male,Excel,28008
Sofia Wilson,27,166.7,Bikaner,FALSE,Under Grad,Hindi,9038141118,Yes,Female,Tally,21591
Carter Johnson,31,180.8,Mumbhai,TRUE,Secondary,Marathee,9038111429,Yes,Male,Photoshop,18291
Addison Harris,28,164.2,Jalandhar,FALSE,High School,Hindi,9038110130,Yes,Female,Excel,19734
Dylan Lee,34,175.6,Kolkatta,TRUE,Grad,Hindi,9038095573,Yes,Male,Power Point,20349
Arpita,25,155.8,Jalandhar,TRUE,Secondary,Hindi,9038289565,,Female,Power Point,34686
Kuntal,,170,Jalandhar,TRUE,High School,Hindi,9038131376,,Male,Excel,37043
Olivia White,26,168.7,Kolkatta,FALSE,Grad,Hindi,9038181540,No,Female,,41143
Michael Brown,34,182,Varanasi,TRUE,Under Grad,Hindi,9038130150,No,Male,Excel,20481
Ethan Clark,25,175,Bikaner,TRUE,Grad,Hindi,9038117609,No,Male,Tally,37033
Ava Robinson,29,160.2,Bikaner,FALSE,Under Grad,Hindi,9038096161,No,Male,Photoshop,35366
Kevin Adams,36,178.5,Mumbhai,TRUE,School Drop Out,Marathee,9038132850,Yes,Male,Excel,19847
Mia Martinez,24,165.9,Jalandhar,FALSE,College Drop Out,Hindi,9038187628,Yes,Female,Tally,18219
Daniel Harris,32,177.6,Mumbhai,TRUE,High School,Marathee,9038194428,No,Male,Excel,42894
Sophia Moore,28,170.8,Jalandhar,FALSE,Grad,Hindi,9038158831,No,Female,Power Point,26143
Ethan Clark,25,175,Kolkatta,TRUE,Grad,Bengalee,9038117609,No,Male,Power Bi,37606
Ava Robinson,29,160.2,Kolkatta,FALSE,Under Grad,Bengalee,9038096161,No,Male,Excel,15994
Kevin Adams,36,178.5,Varanasi,TRUE,School Drop Out,Hindi,9038132850,Yes,Male,Tally,33686
Mia Martinez,24,165.9,Bikaner,FALSE,College Drop Out,Hindi,9038187628,Yes,Female,Photoshop,37601
Jacob Taylor,30,183.2,Bikaner,TRUE,Grad,Hindi,9038095006,No,Male,Excel,38636
Lily Johnson,,162.4,Mumbhai,FALSE,Under Grad,Marathee,9038114602,No,Female,Power Point,22542
